,_id,consommation_energie,classe_consommation_energie,estimation_ges,surface_thermique_lot,classe_estimation_ges,annee_construction,tr002_type_batiment_description,code_insee_commune_actualise,geo_adresse,consommation_surface_ratio
0,WRYV9xQCjLUgZ4MAK3wKu,132.0,3.0,29.0,190.0,4.0,5200.0,Maison Individuelle,01430,3 Impasse du Foyer Rural 01160 Varambon,0.6947368421052632
4,y54XQHgRuWB5L1wiVTGJ4,221.0,4.0,3.0,78.2,1.0,2006.0,Logement,05120,Rue de la Bluette 05460 Abriès-Ristolas,2.8260869565217392
9,tJILtP5CaAsVb71W0LfKL,249.12,5.0,13.26,91.0,3.0,2006.0,Maison Individuelle,10331,16bis Route de Nicey 10260 Rumilly-lès-Vaudes,2.7375824175824177
13,sOu_FBcapNzHa-GtUyGLN,322.0,5.0,17.0,80.0,3.0,1983.0,Maison Individuelle,14470,4 Rue des Ecoles 14740 Saint-Manvieu-Norrey,4.025
15,vmXEuxAGV024AGCmMCqQn,29.54,1.0,6.91,87.5,2.0,2006.0,Maison Individuelle,16015,Hameau des Rossignols 16000 Angoulême,0.3376
16,nNtauQCkq5aOCMvyAWeAc,64.42,2.0,0.99,109.5,1.0,1940.0,Maison Individuelle,17044,16 Rue de la Petite Pouyade 17460 Berneuil,0.588310502283105
17,APKveuUVxkkzjFCdQKcR5,219.47,4.0,52.89,108.7,5.0,1900.0,Maison Individuelle,18020,25 Rue des Bonnins 18300 Bannay,2.019043238270469
20,56tJ4u2mNcwXbxaFbLTBC,282.41,5.0,239.06,114.75,7.0,1900.0,Maison Individuelle,22004,5 Ker Daniou 22140 Bégard,2.4610893246187366
25,RgZH9lDhWKsvgU66P1yIx,298.0,5.0,11.0,105.0,3.0,1983.0,Maison Individuelle,27210,Chemin de la Grande Rangee 27170 Écardenville-la-Campagne,2.8380952380952382
27,eUcxPID9Bown3Vm5VcTsd,259.91,5.0,12.68,64.2,3.0,1999.0,Maison Individuelle,29058,12 Résidence de Lespont 29170 Fouesnant,4.048442367601246
34,7M3BxY6xbiu7-ykDvNNBY,253.77,5.0,14.32,124.0,3.0,1984.0,Maison Individuelle,34327,12bis Rue du Peyrou 34740 Vendargues,2.046532258064516
39,LhcTFsWqh2ip0nZ5eKezQ,318.28,5.0,17.88,90.0,3.0,1977.0,Maison Individuelle,39121,1 Chemin des Sablonnières 39700 Châtenois,3.5364444444444443
41,bOnRDqf4h_olIq4L91aw3,327.95,5.0,19.18,107.6,3.0,1975.0,Maison Individuelle,41167,4 Rue des Champs Marquiers 41150 Veuzain-sur-Loire,3.0478624535315983
44,nmqq8xktH8usQfKjTvmPb,80.45,2.0,18.03,75.3,3.0,2012.0,Logement,44109,3 Chemin Poisson 44100 Nantes,1.0683930942895088
47,l74y0U2gL-eBCo26YzajE,260.64,5.0,60.99,82.0,6.0,1960.0,Maison Individuelle,47001,306 Rue Ferdinand David 47000 Agen,3.1785365853658534
49,slMiVhuJqqIEi44cPaLKQ,306.0,5.0,61.0,128.0,6.0,1948.0,Maison Individuelle,49328,129 Rue de Doué 49400 Saumur,2.390625
54,TTJTsBrTHv104wx8yopI2,282.0,5.0,69.0,118.0,6.0,1948.0,Maison Individuelle,54540,Rue de Badonviller 54480 Val-et-Châtillon,2.389830508474576
59,9k_DbxbUtRuAr9uGR2nAM,257.96,5.0,10.81,39.75,2.0,2012.0,Logement,59350,33 Rue de Douai 59000 Lille,6.489559748427673
61,eDY5go1RjdJc4CFaG3qs_,293.0,5.0,56.0,110.0,6.0,1948.0,Maison Individuelle,61220,La Pessemaliere 61290 Longny les Villages,2.6636363636363636
62,C0tBZNFfGaW8pME-lIvhV,145.82,3.0,27.45,88.48,4.0,1976.0,Maison Individuelle,62252,555 Rue des Lobes 62136 La Couture,1.6480560578661843
64,lA1sG4MTNBUDXLNTIcFIA,329.01,5.0,76.99,84.75,6.0,1965.0,Maison Individuelle,64445,24 rue de Lacq 64000 Pau,3.8821238938053098
65,8y9YvyXsyy0SEEnv4vA47,143.68,3.0,4.01,171.0,1.0,1930.0,Maison Individuelle,65010,Avenue de Toulouse 65690 Angos,0.840233918128655
66,pT6qB_nKn8t9-KGYLghkR,494.04,7.0,29.29,51.0,4.0,1972.0,Logement,66222,11 Promenade Claude Nogue 66820 Vernet-les-Bains,9.687058823529412
67,2Iz1VgyFF582a9kSh7HkB,147.87,3.0,23.21,188.0,4.0,1963.0,Maison Individuelle,67069,35 Rue des Pres 67470 Buhl,0.7865425531914894
68,05XZeSAgUgSF_BVqMimXK,363.57,6.0,11.84,82.9,3.0,1940.0,Maison Individuelle,68294,60 Rue Maurice Burrus 68160 Sainte-Croix-aux-Mines,4.385645355850422
69,0lJ6jLbFlCcnZA9RCIow9,416.56,6.0,21.73,100.71,4.0,1980.0,Maison Individuelle,69275,28 Rue de Verdun 69150 Décines-Charpieu,4.136232747492802
72,EcOEmLEiPQfasiqn11caV,205.59,4.0,48.11,85.0,5.0,1963.0,Maison Individuelle,72181,13 Impasse Douce Amie 72000 Le Mans,2.418705882352941
75,02M3nxnn2cma9zjT5uOGa,249.0,5.0,15.0,54.0,3.0,1947.0,Logement,75013,32 Rue de Verdun 93350 Le Bourget,4.611111111111111
77,MEWftDp27dencSvT8a-e4,203.0,4.0,47.0,150.0,5.0,1975.0,Maison Individuelle,77135,24 Rue de l'Yvron 77540 Courpalay,1.3533333333333333
80,TkSLtYzJcLGrriWJrRiyR,200.0,4.0,6.0,99.0,2.0,2001.0,Maison Individuelle,80800,4 Hameau de Campsart 80140 Villers-Campsart,2.0202020202020203
81,n8Dta7wyt9BI8QI9QoZcZ,333.0,6.0,100.0,144.6,7.0,1948.0,Maison Individuelle,81065,80 Chemin du Corporal 81100 Castres,2.302904564315353
82,zRaA8Ve7MbRHv0uwaHOUx,280.67,5.0,13.56,85.0,3.0,2008.0,Maison Individuelle,82017,192 Rue Jules Ferry 82170 Bessens,3.302
83,pIgZiUyI-pPmS7x-b-Q6o,228.7,4.0,9.19,24.89,2.0,1985.0,Logement,83071,Place Victor Hugo 83250 La Londe-les-Maures,9.188429087987142
84,CuLpFIe9MpwZU2X9wgejI,118.16,3.0,25.02,150.0,4.0,1970.0,Maison Individuelle,84039,236 Chemin des Sarrassanes 3 84350 Courthézon,0.7877333333333333
87,MCUKArZDDVnLJEhdFwKp_,131.56,3.0,22.29,101.0,4.0,2006.0,Maison Individuelle,87049,9 Rue de l’Oradour 87500 Coussac-Bonneval,1.3025742574257426
88,fk5wvL6G0BRSeP3wPFTOl,221.0,4.0,10.0,112.0,2.0,1989.0,Maison Individuelle,88210,Rue de la Gitte 88270 Gorhey,1.9732142857142858
90,EiFb9CpmKx80apywonTmY,374.33,6.0,87.59,61.5,7.0,1950.0,Logement,90010,24 Boulevard Jean-Marie de Lattre de Tassigny 90000 Belfort,6.086666666666666
92,ppa__fP1uJLKSE5r0l0cQ,242.02,5.0,11.68,64.05,3.0,1980.0,Logement,92026,25 Rue D 'Essling 92400 Courbevoie,3.778610460577674
96,HJt4TdUa1W0wZiNoQkskk,286.0,5.0,9.0,106.87,2.0,1.0,Maison Individuelle,01450,Rue du Chateau 01800 Villieu-Loyes-Mollon,2.676148591746982
105,rGlG7S_vIyR-dpjePIchd,292.71,5.0,87.81,152.0,7.0,1974.0,Maison Individuelle,10080,1 Rue des Cannes 10210 Chaource,1.925723684210526
111,OnpQ-bH2rWtuCg3LtvGGE,28.32,1.0,6.63,87.5,2.0,2006.0,Maison Individuelle,16015,Hameau des Rossignols 16000 Angoulême,0.32365714285714287
112,kk6uyGi9faSCPVcQ7_G2U,64.42,2.0,0.99,109.5,1.0,1940.0,Maison Individuelle,17044,16 Rue de la Petite Pouyade 17460 Berneuil,0.588310502283105
113,DAGI47m_AAzTbobbdh0Bz,282.94,5.0,15.38,95.0,3.0,2003.0,Maison Individuelle,18020,Rue des Chenus 18300 Bannay,2.978315789473684
121,yri6yB1rgp4H9TrGKVCNR,425.86,6.0,102.09,68.2,7.0,1967.0,Maison Individuelle,27017,23 Rue du Parc 27930 Angerville-la-Campagne,6.244281524926686
122,3qBAKDRnWQOsgn1eSsK5N,324.38,5.0,18.48,84.0,3.0,1973.0,Maison Individuelle,28122,10 Rue de la Vigne 28360 Dammarie,3.861666666666667
126,88IVvnrIomcgk977nOFyA,185.0,4.0,7.0,73.0,2.0,1989.0,Logement,30420,Avenue Frédéric Mistral (Pont) Grasse,2.5342465753424657
128,KHMgfncCs3W_RukHeZZH1,208.37,4.0,10.65,100.0,2.0,1985.0,Maison Individuelle,32001,Impasse des Ecoles 32290 Aignan,2.0837
130,2dIsndzOEpZ2v34oZq8DU,144.13,3.0,4.44,67.0,1.0,1996.0,Maison Individuelle,34022,1 Rue du Colombier 34670 Baillargues,2.151194029850746
135,shxQ13o1igGMAV3NTXiel,306.73,5.0,71.78,83.42,6.0,1949.0,Maison Individuelle,39471,145 Bard 39140 Ruffey-sur-Seille,3.6769359865739633
137,N8dLa4Rg0dvEJxLGQYD1f,159.22,4.0,37.26,112.0,5.0,1983.0,Maison Individuelle,41167,1 Rue du Docteur Jean Girault 41150 Veuzain-sur-Loire,1.4216071428571428
141,N1aUEpvns7S-2fIGyAZFw,282.4,5.0,16.24,67.16,3.0,1980.0,Logement,45234,2bis Rue Stanislas Julien 45000 Orléans,4.204883859440143
147,ihzj90OVKzzipoqDMPt7n,301.95,5.0,15.35,55.0,3.0,1996.0,Logement,51454,91bis boulevard Henry Vasnier 51100 Reims,5.49
153,UUUucesR95uX2QIZahXET,454.77,7.0,88.51,217.0,7.0,1960.0,Maison Individuelle,57606,8 Rue des Vergers 57500 Saint-Avold,2.0957142857142856
155,QeAq6ByfxWrmAIipKyQvE,172.0,4.0,5.0,94.0,1.0,1947.0,Maison Individuelle,59560,Rue des Paves 59113 Seclin,1.8297872340425532
158,gHdZqp4pVJKE1zhI0vJUm,589.9,7.0,52.49,51.77,5.0,1952.0,Maison Individuelle,62571,126 Rue des Flaques 62155 Merlimont,11.39463009464941
159,vMUXSwhUSPLN6pYJNwAhe,117.29,3.0,35.19,68.0,4.0,1900.0,Maison Individuelle,63022,4 Rue de la Roche 63570 Auzat-la-Combelle,1.7248529411764706
160,x5PKPf3VDGOKnOglIGJIY,54.04,2.0,12.65,53.38,3.0,1850.0,Logement,64445,11 rue Mathieu Lalanne 64000 Pau,1.0123641813413262
161,O9_cZw9U4KreEzTtky4D0,538.77,7.0,122.47,67.09,7.0,1957.0,Maison Individuelle,65433,1 Impasse Gabriel Péri 65430 Soues,8.030555969593083
162,kG30X09XfMg0pgOncoIQk,321.88,5.0,77.9,94.5,6.0,1969.0,Maison Individuelle,66161,6 Rue du Pla 66500 Ria-Sirach,3.406137566137566
168,HUHSo7lKV1Sh9HY7_HEE2,277.94,5.0,14.41,165.94,3.0,1975.0,Maison Individuelle,72028,Lieu Dit la Rateliere 72500 Beaumont-Pied-de-Bœuf,1.6749427503917078
169,AZsHbicabjxtLpUdCYb8B,225.0,4.0,52.0,37.5,5.0,2001.0,Logement,73190,Rue des longes 73600 Notre-Dame-du-Pré,6.0
171,wy9n3eOaRnZORgq6dMklN,692.0,7.0,22.0,23.86,4.0,1947.0,Logement,75019,32 Rue des Grillons 92290 Châtenay-Malabry,29.002514668901927
172,NadmmU1tRhvy3bYeRlMsZ,299.81,5.0,17.4,115.0,3.0,1975.0,Maison Individuelle,76291,73 Rue des Pres 76400 Froberville,2.6070434782608696
173,xh6DL5sck8DnJurkPmbCd,353.56,6.0,18.79,60.0,3.0,2001.0,Maison Individuelle,77008,4 Rue de la Gillette 77440 Armentières-en-Brie,5.892666666666667
174,xTLvbWKKZZdsziLc9Gy1r,163.01,4.0,38.14,98.07,5.0,1980.0,Logement,78423,3 Rue Christophe Colomb 78180 Montigny-le-Bretonneux,1.6621800754563067
178,IlKyAAjMrDXNF1C8HnySv,103.5,3.0,6.69,249.79,2.0,1950.0,Maison Individuelle,82121,2173 Route de Saint- Martial 82000 Montauban,0.41434805236398575
181,qqjdZ31MS_2pUxXwDtOQj,131.0,3.0,23.0,117.5,4.0,1989.0,Maison Individuelle,85170,17 Rue des martyrs 85240 Foussais-Payré,1.1148936170212767
183,wZj94ien2fpKg644OPjyw,390.6,6.0,23.83,135.4,4.0,1981.0,Maison Individuelle,87030,Rue de la Ribière 87200 Chaillac-sur-Vienne,2.8847858197932053
185,Io976IeFTO-42U2rL7k2q,227.91,4.0,53.33,112.0,5.0,1930.0,Maison Individuelle,89074,20 Rue des Caves 89340 Champigny,2.034910714285714
192,ael2b1UM_kHUe064T29b3,319.91,5.0,18.2,102.38,3.0,1976.0,Maison Individuelle,63000,Chemin de la Bruyère Moyenmoutier,3.1247313928501663
194,uatG1pilR_KAHyfcu8_Qd,192.0,4.0,2.0,250.0,1.0,1947.0,Maison Individuelle,03110,12 Route de Vendat 03110 Espinasse-Vozelle,0.768
195,hiALFLJUJv05oh9J5Djae,571.0,7.0,34.0,57.0,4.0,1983.0,Maison Individuelle,04500,Chemin de Sainte-Croix Gargas,10.017543859649123
201,GepFpU8f725pNsEDnAGZb,246.0,5.0,14.0,103.38,3.0,2006.0,Maison Individuelle,10260,22 Rue des Clos 10800 Moussey,2.379570516540917
204,kH7EpSeSkdTB6Qw4Ft13R,210.0,4.0,12.0,94.32,3.0,1981.0,Maison Individuelle,13011,chemin des jardins 13520 Les Baux-de-Provence,2.2264631043257
207,BxG_HQzWXYduVUBdGbuxm,28.26,1.0,6.61,87.5,2.0,2006.0,Maison Individuelle,16015,Hameau des Rossignols 16000 Angoulême,0.3229714285714286
208,tLKflSQuCnD9EV_wrqVfG,185.9,4.0,3.54,136.58,1.0,1949.0,Maison Individuelle,17452,55 Rue Bouffard 17390 La Tremblade,1.3611070434909942
210,JiGoEUj-TrCvn05hPUSXf,122.0,3.0,3.0,58.0,1.0,1947.0,Logement,19100,26 Rue Hortense Martin 19700 Lagraulière,2.103448275862069
212,YdPSsNNpIFjXd2gETeZ4g,410.77,6.0,13.37,70.0,3.0,1947.0,Maison Individuelle,22030,Runangoff 22300 Caouënnec-Lanvézéac,5.868142857142857
213,f93DfLrDuLqX5hvoEIUOO,678.34,7.0,36.63,92.0,5.0,1966.0,Maison Individuelle,23036,1 peurousseau 23320 Bussière-Dunoise,7.373260869565217
